지휘관,싱크로,보스,속성,덱,니케1,니케2,니케3,니케4,니케5,딜량,비고
설화,708,작열,풍압,3,헬름,브리드 : 사일런트 트랙,라피 : 레드 후드,디젤 : 윈터 스위츠,미하라 : 본딩 체인,25989340595,
설화,708,전격,수냉,1,아니스 : 스타,프리카,신데렐라,네온 : 비전 아이,민트,43896858603,
설화,708,전격,수냉,2,목단,프리카,신데렐라,네온 : 비전 아이,민트,32622922961,
설화,708,전격,수냉,3,목단,크라운,신데렐라,네온 : 비전 아이,마스트 : 로망틱 메이드,34546686536,
설화,708,풍압,철갑,1,나유타,리틀 머메이드,홍련 : 흑영,리버렐리오,벨벳,34259326637,
설화,708,풍압,철갑,2,나유타,리틀 머메이드,홍련 : 흑영,리버렐리오,마스트 : 로망틱 메이드,36451508279,
설화,708,풍압,철갑,3,마스트 : 로망틱 메이드,앵커 : 이노센트 메이드,리틀 머메이드,홍련 : 흑영,리버렐리오,33713803876,
설화,708,풍압,철갑,4,마스트 : 로망틱 메이드,크라운,리틀 머메이드,홍련 : 흑영,리버렐리오,37835271136,
설화,708,풍압,철갑,5,나유타,리틀 머메이드,아스카 : WILLE,프리바티,벨벳,32640000714,
셀레스,641,철갑,전격,1,목단,프리카,신데렐라 : 크리스탈 웨이브,민트,레이븐,22360465755,
셀레스,641,철갑,전격,2,목단,프리카,신데렐라 : 크리스탈 웨이브,민트,프리바티,24148518544,
셀레스,641,철갑,전격,3,아니스 : 스타,프리카,신데렐라 : 크리스탈 웨이브,민트,프리바티,28886765700,
셀레스,641,철갑,전격,4,아니스 : 스타,크라운,신데렐라 : 크리스탈 웨이브,레이븐,프리바티,34578994128,
셀레스,641,철갑,전격,5,아니스 : 스타,크라운,신데렐라 : 크리스탈 웨이브,이브,프리바티,32725012307,
셀레스,641,철갑,전격,6,리틀 머메이드,나유타,라피 : 레드 후드,신데렐라 : 크리스탈 웨이브,프리바티,32985493902,
셀레스,641,철갑,전격,7,아니스 : 스타,나유타,라피 : 레드 후드,신데렐라 : 크리스탈 웨이브,프리바티,38870982233,
셀레스,641,수냉,작열,1,목단,크라운,스노우 화이트 : 헤비암즈,프리바티,마스트 : 로망틱 메이드,30541363438,
셀레스,641,수냉,작열,2,목단,크라운,스노우 화이트 : 헤비암즈,프리바티,일레그 : 붐 앤 쇼크,29830861589,
셀레스,641,수냉,작열,3,아니스 : 스타,크라운,스노우 화이트 : 헤비암즈,프리바티,일레그 : 붐 앤 쇼크,35893334290,
셀레스,641,수냉,작열,4,리틀 머메이드,프리카,스노우 화이트 : 헤비암즈,민트,프리바티,23200842497,
셀레스,641,수냉,작열,5,목단,크라운,스노우 화이트 : 헤비암즈,헬름,일레그 : 붐 앤 쇼크,25945219941,
셀레스,641,수냉,작열,6,마스트 : 로망틱 메이드,앵커 : 이노센트 메이드,아니스 : 스타,스노우 화이트 : 헤비암즈,프리바티,33974385005,
셀레스,641,수냉,작열,7,아니스 : 스타,나유타,스노우 화이트 : 헤비암즈,프리바티,일레그 : 붐 앤 쇼크,35330934992,
셀레스,641,수냉,작열,8,목단,나유타,스노우 화이트 : 헤비암즈,프리바티,일레그 : 붐 앤 쇼크,29190385854,
셀레스,641,작열,풍압,1,아니스 : 스타,브리드 : 사일런트 트랙,라피 : 레드 후드,디젤 : 윈터 스위츠,미하라 : 본딩 체인,26079641358,
셀레스,641,작열,풍압,2,리틀 머메이드,브리드 : 사일런트 트랙,라피 : 레드 후드,디젤 : 윈터 스위츠,미하라 : 본딩 체인,20988994188,
셀레스,641,작열,풍압,3,헬름,브리드 : 사일런트 트랙,라피 : 레드 후드,디젤 : 윈터 스위츠,미하라 : 본딩 체인,19849474823,
셀레스,641,전격,수냉,1,아니스 : 스타,프리카,신데렐라,네온 : 비전 아이,민트,32560097535,
셀레스,641,전격,수냉,2,목단,프리카,신데렐라,네온 : 비전 아이,민트,22486865930,
셀레스,641,전격,수냉,3,목단,크라운,신데렐라,네온 : 비전 아이,마스트 : 로망틱 메이드,26701411356,
셀레스,641,풍압,철갑,1,나유타,리틀 머메이드,홍련 : 흑영,리버렐리오,벨벳,23493504656,
셀레스,641,풍압,철갑,2,나유타,리틀 머메이드,홍련 : 흑영,리버렐리오,마스트 : 로망틱 메이드,25077467197,
셀레스,641,풍압,철갑,3,마스트 : 로망틱 메이드,앵커 : 이노센트 메이드,리틀 머메이드,홍련 : 흑영,리버렐리오,22747203990,
셀레스,641,풍압,철갑,4,마스트 : 로망틱 메이드,크라운,리틀 머메이드,홍련 : 흑영,리버렐리오,25370353747,
셀레스,641,풍압,철갑,5,나유타,리틀 머메이드,아스카 : WILLE,프리바티,벨벳,25179972506,
JL,655,철갑,전격,1,목단,프리카,신데렐라 : 크리스탈 웨이브,민트,레이븐,21900993806,
JL,655,철갑,전격,2,목단,프리카,신데렐라 : 크리스탈 웨이브,민트,프리바티,24253307888,
JL,655,철갑,전격,3,아니스 : 스타,프리카,신데렐라 : 크리스탈 웨이브,민트,프리바티,28819513543,
JL,655,철갑,전격,4,아니스 : 스타,크라운,신데렐라 : 크리스탈 웨이브,레이븐,프리바티,31756303482,
JL,655,철갑,전격,5,아니스 : 스타,크라운,신데렐라 : 크리스탈 웨이브,이브,프리바티,32104000490,
JL,655,철갑,전격,6,리틀 머메이드,나유타,라피 : 레드 후드,신데렐라 : 크리스탈 웨이브,프리바티,30676296230,
JL,655,철갑,전격,7,아니스 : 스타,나유타,라피 : 레드 후드,신데렐라 : 크리스탈 웨이브,프리바티,35142784454,
JL,655,수냉,작열,1,목단,크라운,스노우 화이트 : 헤비암즈,프리바티,마스트 : 로망틱 메이드,27563692067,
JL,655,수냉,작열,2,목단,크라운,스노우 화이트 : 헤비암즈,프리바티,일레그 : 붐 앤 쇼크,27512700860,
JL,655,수냉,작열,3,아니스 : 스타,크라운,스노우 화이트 : 헤비암즈,프리바티,일레그 : 붐 앤 쇼크,32972584936,
JL,655,수냉,작열,4,리틀 머메이드,프리카,스노우 화이트 : 헤비암즈,민트,프리바티,22021249138,
JL,655,수냉,작열,5,목단,크라운,스노우 화이트 : 헤비암즈,헬름,일레그 : 붐 앤 쇼크,25187824185,
JL,655,수냉,작열,6,마스트 : 로망틱 메이드,앵커 : 이노센트 메이드,아니스 : 스타,스노우 화이트 : 헤비암즈,프리바티,29660992069,
JL,655,수냉,작열,7,아니스 : 스타,나유타,스노우 화이트 : 헤비암즈,프리바티,일레그 : 붐 앤 쇼크,32637027644,
JL,655,수냉,작열,8,목단,나유타,스노우 화이트 : 헤비암즈,프리바티,일레그 : 붐 앤 쇼크,27244830521,
JL,655,작열,풍압,1,아니스 : 스타,브리드 : 사일런트 트랙,라피 : 레드 후드,디젤 : 윈터 스위츠,미하라 : 본딩 체인,24610187081,
JL,655,작열,풍압,2,리틀 머메이드,브리드 : 사일런트 트랙,라피 : 레드 후드,디젤 : 윈터 스위츠,미하라 : 본딩 체인,20174207750,
JL,655,작열,풍압,3,헬름,브리드 : 사일런트 트랙,라피 : 레드 후드,디젤 : 윈터 스위츠,미하라 : 본딩 체인,18980884312,
JL,655,전격,수냉,1,아니스 : 스타,프리카,신데렐라,네온 : 비전 아이,민트,35174474228,
JL,655,전격,수냉,2,목단,프리카,신데렐라,네온 : 비전 아이,민트,24866849775,
JL,655,전격,수냉,3,목단,크라운,신데렐라,네온 : 비전 아이,마스트 : 로망틱 메이드,26943014733,
JL,655,풍압,철갑,1,나유타,리틀 머메이드,홍련 : 흑영,리버렐리오,벨벳,29277408700,
JL,655,풍압,철갑,2,나유타,리틀 머메이드,홍련 : 흑영,리버렐리오,마스트 : 로망틱 메이드,30775856677,
JL,655,풍압,철갑,3,마스트 : 로망틱 메이드,앵커 : 이노센트 메이드,리틀 머메이드,홍련 : 흑영,리버렐리오,27754585370,
JL,655,풍압,철갑,4,마스트 : 로망틱 메이드,크라운,리틀 머메이드,홍련 : 흑영,리버렐리오,30709538508,
JL,655,풍압,철갑,5,나유타,리틀 머메이드,아스카 : WILLE,프리바티,벨벳,25411486709,
AKIRA,668,철갑,전격,1,목단,프리카,신데렐라 : 크리스탈 웨이브,민트,레이븐,,미보유: 프리카
AKIRA,668,철갑,전격,2,목단,프리카,신데렐라 : 크리스탈 웨이브,민트,프리바티,,미보유: 프리카
AKIRA,668,철갑,전격,3,아니스 : 스타,프리카,신데렐라 : 크리스탈 웨이브,민트,프리바티,,미보유: 프리카
AKIRA,668,철갑,전격,4,아니스 : 스타,크라운,신데렐라 : 크리스탈 웨이브,레이븐,프리바티,32630185448,
AKIRA,668,철갑,전격,5,아니스 : 스타,크라운,신데렐라 : 크리스탈 웨이브,이브,프리바티,33172789619,
AKIRA,668,철갑,전격,6,리틀 머메이드,나유타,라피 : 레드 후드,신데렐라 : 크리스탈 웨이브,프리바티,32609754944,
AKIRA,668,철갑,전격,7,아니스 : 스타,나유타,라피 : 레드 후드,신데렐라 : 크리스탈 웨이브,프리바티,38398775508,
AKIRA,668,수냉,작열,1,목단,크라운,스노우 화이트 : 헤비암즈,프리바티,마스트 : 로망틱 메이드,31770361182,
AKIRA,668,수냉,작열,2,목단,크라운,스노우 화이트 : 헤비암즈,프리바티,일레그 : 붐 앤 쇼크,30555045090,
AKIRA,668,수냉,작열,3,아니스 : 스타,크라운,스노우 화이트 : 헤비암즈,프리바티,일레그 : 붐 앤 쇼크,35987004473,
AKIRA,668,수냉,작열,4,리틀 머메이드,프리카,스노우 화이트 : 헤비암즈,민트,프리바티,,미보유: 프리카
AKIRA,668,수냉,작열,5,목단,크라운,스노우 화이트 : 헤비암즈,헬름,일레그 : 붐 앤 쇼크,26434795150,
AKIRA,668,수냉,작열,6,마스트 : 로망틱 메이드,앵커 : 이노센트 메이드,아니스 : 스타,스노우 화이트 : 헤비암즈,프리바티,34770781309,
AKIRA,668,수냉,작열,7,아니스 : 스타,나유타,스노우 화이트 : 헤비암즈,프리바티,일레그 : 붐 앤 쇼크,35090875285,
AKIRA,668,수냉,작열,8,목단,나유타,스노우 화이트 : 헤비암즈,프리바티,일레그 : 붐 앤 쇼크,29645304398,
AKIRA,668,작열,풍압,1,아니스 : 스타,브리드 : 사일런트 트랙,라피 : 레드 후드,디젤 : 윈터 스위츠,미하라 : 본딩 체인,28637173872,
AKIRA,668,작열,풍압,2,리틀 머메이드,브리드 : 사일런트 트랙,라피 : 레드 후드,디젤 : 윈터 스위츠,미하라 : 본딩 체인,23101772783,
AKIRA,668,작열,풍압,3,헬름,브리드 : 사일런트 트랙,라피 : 레드 후드,디젤 : 윈터 스위츠,미하라 : 본딩 체인,21561315901,
AKIRA,668,전격,수냉,1,아니스 : 스타,프리카,신데렐라,네온 : 비전 아이,민트,,미보유: 프리카
AKIRA,668,전격,수냉,2,목단,프리카,신데렐라,네온 : 비전 아이,민트,,미보유: 프리카
AKIRA,668,전격,수냉,3,목단,크라운,신데렐라,네온 : 비전 아이,마스트 : 로망틱 메이드,31330831671,
AKIRA,668,풍압,철갑,1,나유타,리틀 머메이드,홍련 : 흑영,리버렐리오,벨벳,30126736825,
AKIRA,668,풍압,철갑,2,나유타,리틀 머메이드,홍련 : 흑영,리버렐리오,마스트 : 로망틱 메이드,30435117314,
AKIRA,668,풍압,철갑,3,마스트 : 로망틱 메이드,앵커 : 이노센트 메이드,리틀 머메이드,홍련 : 흑영,리버렐리오,27347871950,
AKIRA,668,풍압,철갑,4,마스트 : 로망틱 메이드,크라운,리틀 머메이드,홍련 : 흑영,리버렐리오,30451763497,
AKIRA,668,풍압,철갑,5,나유타,리틀 머메이드,아스카 : WILLE,프리바티,벨벳,28406543259,
달빛,870,철갑,전격,1,목단,프리카,신데렐라 : 크리스탈 웨이브,민트,레이븐,59450687604,
달빛,870,철갑,전격,2,목단,프리카,신데렐라 : 크리스탈 웨이브,민트,프리바티,55326029581,
달빛,870,철갑,전격,3,아니스 : 스타,프리카,신데렐라 : 크리스탈 웨이브,민트,프리바티,65607537874,
달빛,870,철갑,전격,4,아니스 : 스타,크라운,신데렐라 : 크리스탈 웨이브,레이븐,프리바티,79203016975,
달빛,870,철갑,전격,5,아니스 : 스타,크라운,신데렐라 : 크리스탈 웨이브,이브,프리바티,77376610294,
달빛,870,철갑,전격,6,리틀 머메이드,나유타,라피 : 레드 후드,신데렐라 : 크리스탈 웨이브,프리바티,70879151857,
달빛,870,철갑,전격,7,아니스 : 스타,나유타,라피 : 레드 후드,신데렐라 : 크리스탈 웨이브,프리바티,83114264940,
달빛,870,수냉,작열,1,목단,크라운,스노우 화이트 : 헤비암즈,프리바티,마스트 : 로망틱 메이드,66163965735,
달빛,870,수냉,작열,2,목단,크라운,스노우 화이트 : 헤비암즈,프리바티,일레그 : 붐 앤 쇼크,65424907738,
달빛,870,수냉,작열,3,아니스 : 스타,크라운,스노우 화이트 : 헤비암즈,프리바티,일레그 : 붐 앤 쇼크,78086479678,
달빛,870,수냉,작열,4,리틀 머메이드,프리카,스노우 화이트 : 헤비암즈,민트,프리바티,54521666985,
달빛,870,수냉,작열,5,목단,크라운,스노우 화이트 : 헤비암즈,헬름,일레그 : 붐 앤 쇼크,57833738163,
달빛,870,수냉,작열,6,마스트 : 로망틱 메이드,앵커 : 이노센트 메이드,아니스 : 스타,스노우 화이트 : 헤비암즈,프리바티,73020497615,
달빛,870,수냉,작열,7,아니스 : 스타,나유타,스노우 화이트 : 헤비암즈,프리바티,일레그 : 붐 앤 쇼크,74912113290,
달빛,870,수냉,작열,8,목단,나유타,스노우 화이트 : 헤비암즈,프리바티,일레그 : 붐 앤 쇼크,62565869532,
달빛,870,작열,풍압,1,아니스 : 스타,브리드 : 사일런트 트랙,라피 : 레드 후드,디젤 : 윈터 스위츠,미하라 : 본딩 체인,60078244635,
달빛,870,작열,풍압,2,리틀 머메이드,브리드 : 사일런트 트랙,라피 : 레드 후드,디젤 : 윈터 스위츠,미하라 : 본딩 체인,49599537767,
달빛,870,작열,풍압,3,헬름,브리드 : 사일런트 트랙,라피 : 레드 후드,디젤 : 윈터 스위츠,미하라 : 본딩 체인,46628317076,
달빛,870,전격,수냉,1,아니스 : 스타,프리카,신데렐라,네온 : 비전 아이,민트,86085721485,
달빛,870,전격,수냉,2,목단,프리카,신데렐라,네온 : 비전 아이,민트,60987489897,
달빛,870,전격,수냉,3,목단,크라운,신데렐라,네온 : 비전 아이,마스트 : 로망틱 메이드,63795672114,
달빛,870,풍압,철갑,1,나유타,리틀 머메이드,홍련 : 흑영,리버렐리오,벨벳,,미보유: 벨벳
달빛,870,풍압,철갑,2,나유타,리틀 머메이드,홍련 : 흑영,리버렐리오,마스트 : 로망틱 메이드,67122827291,
달빛,870,풍압,철갑,3,마스트 : 로망틱 메이드,앵커 : 이노센트 메이드,리틀 머메이드,홍련 : 흑영,리버렐리오,57746264770,
달빛,870,풍압,철갑,4,마스트 : 로망틱 메이드,크라운,리틀 머메이드,홍련 : 흑영,리버렐리오,65513468363,
달빛,870,풍압,철갑,5,나유타,리틀 머메이드,아스카 : WILLE,프리바티,벨벳,,미보유: 벨벳
돌이푸딩,751,철갑,전격,1,목단,프리카,신데렐라 : 크리스탈 웨이브,민트,레이븐,37578135965,
돌이푸딩,751,철갑,전격,2,목단,프리카,신데렐라 : 크리스탈 웨이브,민트,프리바티,39837276457,
돌이푸딩,751,철갑,전격,3,아니스 : 스타,프리카,신데렐라 : 크리스탈 웨이브,민트,프리바티,47738313303,
돌이푸딩,751,철갑,전격,4,아니스 : 스타,크라운,신데렐라 : 크리스탈 웨이브,레이븐,프리바티,52533730768,
돌이푸딩,751,철갑,전격,5,아니스 : 스타,크라운,신데렐라 : 크리스탈 웨이브,이브,프리바티,50569470142,
돌이푸딩,751,철갑,전격,6,리틀 머메이드,나유타,라피 : 레드 후드,신데렐라 : 크리스탈 웨이브,프리바티,50124205631,
돌이푸딩,751,철갑,전격,7,아니스 : 스타,나유타,라피 : 레드 후드,신데렐라 : 크리스탈 웨이브,프리바티,57688405640,
돌이푸딩,751,수냉,작열,1,목단,크라운,스노우 화이트 : 헤비암즈,프리바티,마스트 : 로망틱 메이드,44117596797,
돌이푸딩,751,수냉,작열,2,목단,크라운,스노우 화이트 : 헤비암즈,프리바티,일레그 : 붐 앤 쇼크,43937159726,
돌이푸딩,751,수냉,작열,3,아니스 : 스타,크라운,스노우 화이트 : 헤비암즈,프리바티,일레그 : 붐 앤 쇼크,52622555137,
돌이푸딩,751,수냉,작열,4,리틀 머메이드,프리카,스노우 화이트 : 헤비암즈,민트,프리바티,35923512422,
돌이푸딩,751,수냉,작열,5,목단,크라운,스노우 화이트 : 헤비암즈,헬름,일레그 : 붐 앤 쇼크,38340953561,
돌이푸딩,751,수냉,작열,6,마스트 : 로망틱 메이드,앵커 : 이노센트 메이드,아니스 : 스타,스노우 화이트 : 헤비암즈,프리바티,47443645764,
돌이푸딩,751,수냉,작열,7,아니스 : 스타,나유타,스노우 화이트 : 헤비암즈,프리바티,일레그 : 붐 앤 쇼크,51328069771,
돌이푸딩,751,수냉,작열,8,목단,나유타,스노우 화이트 : 헤비암즈,프리바티,일레그 : 붐 앤 쇼크,42553403525,
돌이푸딩,751,작열,풍압,1,아니스 : 스타,브리드 : 사일런트 트랙,라피 : 레드 후드,디젤 : 윈터 스위츠,미하라 : 본딩 체인,45777532663,
돌이푸딩,751,작열,풍압,2,리틀 머메이드,브리드 : 사일런트 트랙,라피 : 레드 후드,디젤 : 윈터 스위츠,미하라 : 본딩 체인,37571117708,
돌이푸딩,751,작열,풍압,3,헬름,브리드 : 사일런트 트랙,라피 : 레드 후드,디젤 : 윈터 스위츠,미하라 : 본딩 체인,35080617015,
돌이푸딩,751,전격,수냉,1,아니스 : 스타,프리카,신데렐라,네온 : 비전 아이,민트,58487691676,
돌이푸딩,751,전격,수냉,2,목단,프리카,신데렐라,네온 : 비전 아이,민트,40482029798,
돌이푸딩,751,전격,수냉,3,목단,크라운,신데렐라,네온 : 비전 아이,마스트 : 로망틱 메이드,42144533388,
돌이푸딩,751,풍압,철갑,1,나유타,리틀 머메이드,홍련 : 흑영,리버렐리오,벨벳,49334929131,
돌이푸딩,751,풍압,철갑,2,나유타,리틀 머메이드,홍련 : 흑영,리버렐리오,마스트 : 로망틱 메이드,48555475157,
돌이푸딩,751,풍압,철갑,3,마스트 : 로망틱 메이드,앵커 : 이노센트 메이드,리틀 머메이드,홍련 : 흑영,리버렐리오,42341454170,
돌이푸딩,751,풍압,철갑,4,마스트 : 로망틱 메이드,크라운,리틀 머메이드,홍련 : 흑영,리버렐리오,47512153649,
돌이푸딩,751,풍압,철갑,5,나유타,리틀 머메이드,아스카 : WILLE,프리바티,벨벳,42331803722,
실크,831,철갑,전격,1,목단,프리카,신데렐라 : 크리스탈 웨이브,민트,레이븐,41617502792,
실크,831,철갑,전격,2,목단,프리카,신데렐라 : 크리스탈 웨이브,민트,프리바티,43295838649,
실크,831,철갑,전격,3,아니스 : 스타,프리카,신데렐라 : 크리스탈 웨이브,민트,프리바티,53272121117,
실크,831,철갑,전격,4,아니스 : 스타,크라운,신데렐라 : 크리스탈 웨이브,레이븐,프리바티,61485680756,
실크,831,철갑,전격,5,아니스 : 스타,크라운,신데렐라 : 크리스탈 웨이브,이브,프리바티,60768966952,
실크,831,철갑,전격,6,리틀 머메이드,나유타,라피 : 레드 후드,신데렐라 : 크리스탈 웨이브,프리바티,57169651017,
실크,831,철갑,전격,7,아니스 : 스타,나유타,라피 : 레드 후드,신데렐라 : 크리스탈 웨이브,프리바티,66497416602,
실크,831,수냉,작열,1,목단,크라운,스노우 화이트 : 헤비암즈,프리바티,마스트 : 로망틱 메이드,54828399995,
실크,831,수냉,작열,2,목단,크라운,스노우 화이트 : 헤비암즈,프리바티,일레그 : 붐 앤 쇼크,52787464196,
실크,831,수냉,작열,3,아니스 : 스타,크라운,스노우 화이트 : 헤비암즈,프리바티,일레그 : 붐 앤 쇼크,64639096032,
실크,831,수냉,작열,4,리틀 머메이드,프리카,스노우 화이트 : 헤비암즈,민트,프리바티,47000602354,
실크,831,수냉,작열,5,목단,크라운,스노우 화이트 : 헤비암즈,헬름,일레그 : 붐 앤 쇼크,46033214441,
실크,831,수냉,작열,6,마스트 : 로망틱 메이드,앵커 : 이노센트 메이드,아니스 : 스타,스노우 화이트 : 헤비암즈,프리바티,60197427666,
실크,831,수냉,작열,7,아니스 : 스타,나유타,스노우 화이트 : 헤비암즈,프리바티,일레그 : 붐 앤 쇼크,60410070402,
실크,831,수냉,작열,8,목단,나유타,스노우 화이트 : 헤비암즈,프리바티,일레그 : 붐 앤 쇼크,48973462575,
실크,831,작열,풍압,1,아니스 : 스타,브리드 : 사일런트 트랙,라피 : 레드 후드,디젤 : 윈터 스위츠,미하라 : 본딩 체인,48482981737,
실크,831,작열,풍압,2,리틀 머메이드,브리드 : 사일런트 트랙,라피 : 레드 후드,디젤 : 윈터 스위츠,미하라 : 본딩 체인,39039311930,
실크,831,작열,풍압,3,헬름,브리드 : 사일런트 트랙,라피 : 레드 후드,디젤 : 윈터 스위츠,미하라 : 본딩 체인,36220910968,
실크,831,전격,수냉,1,아니스 : 스타,프리카,신데렐라,네온 : 비전 아이,민트,73741400324,
실크,831,전격,수냉,2,목단,프리카,신데렐라,네온 : 비전 아이,민트,51449385229,
실크,831,전격,수냉,3,목단,크라운,신데렐라,네온 : 비전 아이,마스트 : 로망틱 메이드,54008867620,
실크,831,풍압,철갑,1,나유타,리틀 머메이드,홍련 : 흑영,리버렐리오,벨벳,57019891142,
실크,831,풍압,철갑,2,나유타,리틀 머메이드,홍련 : 흑영,리버렐리오,마스트 : 로망틱 메이드,57065818988,
실크,831,풍압,철갑,3,마스트 : 로망틱 메이드,앵커 : 이노센트 메이드,리틀 머메이드,홍련 : 흑영,리버렐리오,50914125803,
실크,831,풍압,철갑,4,마스트 : 로망틱 메이드,크라운,리틀 머메이드,홍련 : 흑영,리버렐리오,56033009786,
실크,831,풍압,철갑,5,나유타,리틀 머메이드,아스카 : WILLE,프리바티,벨벳,51741734294,
IVYSARE,762,철갑,전격,1,목단,프리카,신데렐라 : 크리스탈 웨이브,민트,레이븐,40561365212,
IVYSARE,762,철갑,전격,2,목단,프리카,신데렐라 : 크리스탈 웨이브,민트,프리바티,41212241159,
IVYSARE,762,철갑,전격,3,아니스 : 스타,프리카,신데렐라 : 크리스탈 웨이브,민트,프리바티,47759843649,
IVYSARE,762,철갑,전격,4,아니스 : 스타,크라운,신데렐라 : 크리스탈 웨이브,레이븐,프리바티,52986746531,
IVYSARE,762,철갑,전격,5,아니스 : 스타,크라운,신데렐라 : 크리스탈 웨이브,이브,프리바티,55007551483,
IVYSARE,762,철갑,전격,6,리틀 머메이드,나유타,라피 : 레드 후드,신데렐라 : 크리스탈 웨이브,프리바티,55962409507,
IVYSARE,762,철갑,전격,7,아니스 : 스타,나유타,라피 : 레드 후드,신데렐라 : 크리스탈 웨이브,프리바티,62679026704,
IVYSARE,762,수냉,작열,1,목단,크라운,스노우 화이트 : 헤비암즈,프리바티,마스트 : 로망틱 메이드,46898273534,
IVYSARE,762,수냉,작열,2,목단,크라운,스노우 화이트 : 헤비암즈,프리바티,일레그 : 붐 앤 쇼크,46156061415,
IVYSARE,762,수냉,작열,3,아니스 : 스타,크라운,스노우 화이트 : 헤비암즈,프리바티,일레그 : 붐 앤 쇼크,54010134664,
IVYSARE,762,수냉,작열,4,리틀 머메이드,프리카,스노우 화이트 : 헤비암즈,민트,프리바티,39184580215,
IVYSARE,762,수냉,작열,5,목단,크라운,스노우 화이트 : 헤비암즈,헬름,일레그 : 붐 앤 쇼크,41454268734,
IVYSARE,762,수냉,작열,6,마스트 : 로망틱 메이드,앵커 : 이노센트 메이드,아니스 : 스타,스노우 화이트 : 헤비암즈,프리바티,50782867034,
IVYSARE,762,수냉,작열,7,아니스 : 스타,나유타,스노우 화이트 : 헤비암즈,프리바티,일레그 : 붐 앤 쇼크,52915087371,
IVYSARE,762,수냉,작열,8,목단,나유타,스노우 화이트 : 헤비암즈,프리바티,일레그 : 붐 앤 쇼크,44934935997,
IVYSARE,762,작열,풍압,1,아니스 : 스타,브리드 : 사일런트 트랙,라피 : 레드 후드,디젤 : 윈터 스위츠,미하라 : 본딩 체인,46563324627,
IVYSARE,762,작열,풍압,2,리틀 머메이드,브리드 : 사일런트 트랙,라피 : 레드 후드,디젤 : 윈터 스위츠,미하라 : 본딩 체인,38758709660,
IVYSARE,762,작열,풍압,3,헬름,브리드 : 사일런트 트랙,라피 : 레드 후드,디젤 : 윈터 스위츠,미하라 : 본딩 체인,34818524612,
IVYSARE,762,전격,수냉,1,아니스 : 스타,프리카,신데렐라,네온 : 비전 아이,민트,57873661550,
IVYSARE,762,전격,수냉,2,목단,프리카,신데렐라,네온 : 비전 아이,민트,43085118913,
IVYSARE,762,전격,수냉,3,목단,크라운,신데렐라,네온 : 비전 아이,마스트 : 로망틱 메이드,45499150490,
IVYSARE,762,풍압,철갑,1,나유타,리틀 머메이드,홍련 : 흑영,리버렐리오,벨벳,46298336665,
IVYSARE,762,풍압,철갑,2,나유타,리틀 머메이드,홍련 : 흑영,리버렐리오,마스트 : 로망틱 메이드,46927327809,
IVYSARE,762,풍압,철갑,3,마스트 : 로망틱 메이드,앵커 : 이노센트 메이드,리틀 머메이드,홍련 : 흑영,리버렐리오,41895828387,
IVYSARE,762,풍압,철갑,4,마스트 : 로망틱 메이드,크라운,리틀 머메이드,홍련 : 흑영,리버렐리오,46902887619,
